TC_ID	TestName	email	Expected Result	fail
TC-005-0022	E-Valid-Mail	mail@hcmut.edu.vn	Your enquiry has been successfully sent to the store owner!	
TC-005-0023	E-Invalid-Mail	ggggmail	E-Mail Address does not appear to be valid!	TRUE
TC-005-0024	E-Valid-Mail-SV-1	first.last@example.com	Your enquiry has been successfully sent to the store owner!	
TC-005-0025	E-Valid-Mail-SV-2	user+tag@gmail.com	Your enquiry has been successfully sent to the store owner!	
TC-005-0026	E-Valid-Mail-SV-3	user+tag@gmail.com	Your enquiry has been successfully sent to the store owner!	
TC-005-0027	E-Valid-Mail-SV-4	user-name@domain.com	Your enquiry has been successfully sent to the store owner!	
TC-005-0028	E-Valid-Mail-SV-5	12345@numbers.com	Your enquiry has been successfully sent to the store owner!	
TC-005-0029	E-Valid-Mail-SV-6	User.Name@Domain.COM	Your enquiry has been successfully sent to the store owner!	
TC-005-0030	E-Valid-Mail-SV-7	user@mail.sub.domain.com	Your enquiry has been successfully sent to the store owner!	
TC-005-0031	E-Valid-Mail-SV-8	a@b.co	Your enquiry has been successfully sent to the store owner!	
TC-005-0032	E-Valid-Mail-SV-9	user@domain.com	Your enquiry has been successfully sent to the store owner!	
TC-005-0033	E-Invalid-Mail-SV-1	userexample.com	E-Mail Address does not appear to be valid!	TRUE
TC-005-0034	E-Invalid-Mail-SV-2	user@	E-Mail Address does not appear to be valid!	TRUE
TC-005-0035	E-Invalid-Mail-SV-3	user@domain	E-Mail Address does not appear to be valid!	TRUE
TC-005-0036	E-Invalid-Mail-SV-4	user@@domain.com	E-Mail Address does not appear to be valid!	TRUE
TC-005-0037	E-Invalid-Mail-SV-5	user name@domain.com	E-Mail Address does not appear to be valid!	TRUE
TC-005-0038	E-Invalid-Mail-SV-6	.user@domain.com	E-Mail Address does not appear to be valid!	TRUE
TC-005-0039	E-Invalid-Mail-SV-7	user..name@domain.com	E-Mail Address does not appear to be valid!	TRUE
TC-005-0040	E-Invalid-Mail-SV-8	user!@domain.com	E-Mail Address does not appear to be valid!	TRUE
